epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.884,2.01222,1.40416,1.07989,0.63158,0.45815,0.49893,0.23315,1.8704,1.59271,0.98391,0.0670475,0.000332854,0.000332854
2,379.133,1.96944,1.32183,1.06988,0.70244,0.48121,0.5405,0.27458,1.69799,1.43886,0.97054,0.0340442,0.000662889,0.000662889
3,555.379,1.90177,1.25822,1.04545,0.71642,0.45297,0.5136,0.24867,1.81572,1.33075,0.96919,0.00103759,0.000989625,0.000989625
4,731.12,1.85859,1.21163,1.03182,0.7627,0.50149,0.57731,0.30778,1.65179,1.14832,0.9503,0.00098515,0.00098515,0.00098515
5,906.043,1.80744,1.15645,1.02344,0.7089,0.49911,0.55295,0.28784,1.62367,1.27351,0.9409,0.0009802,0.0009802,0.0009802
6,1081.71,1.76748,1.12591,1.01554,0.75293,0.52719,0.59932,0.32678,1.51489,1.20546,0.92494,0.00097525,0.00097525,0.00097525
7,1254.19,1.73557,1.09059,1.00479,0.7833,0.51322,0.60093,0.34148,1.49421,1.01816,0.92385,0.0009703,0.0009703,0.0009703
1,176.197,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
2,353.492,1.97011,1.30183,1.06463,0.7309,0.45834,0.53251,0.24922,1.91238,1.44566,1.00127,0.0340676,0.000659325,0.000659325
1,180.44,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
2,366.3,1.97011,1.30183,1.06463,0.7309,0.45834,0.53251,0.24922,1.91238,1.44566,1.00127,0.0340676,0.000659325,0.000659325
3,540.519,1.94947,1.29256,1.05682,0.66069,0.47743,0.51667,0.2388,1.8685,1.6534,1.00678,0.00105437,0.000979466,0.000979466
1,168.919,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
1,169.693,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
2,352.548,1.97011,1.30183,1.06463,0.7309,0.45834,0.53251,0.24922,1.91238,1.44566,1.00127,0.0340676,0.000659325,0.000659325
1,169.201,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
1,186.137,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
2,359.523,1.97011,1.30183,1.06463,0.7309,0.45834,0.53251,0.24922,1.91238,1.44566,1.00127,0.0340676,0.000659325,0.000659325
1,169.562,1.96866,1.38745,1.074,0.67168,0.4309,0.46865,0.21562,1.89967,1.7754,0.9901,0.0670742,0.000332584,0.000332584
1,191.061,2.01222,1.40416,1.07989,0.63158,0.45815,0.49893,0.23315,1.8704,1.59271,0.98391,0.0670475,0.000332854,0.000332854
2,387.177,1.96452,1.32053,1.06696,0.72562,0.50589,0.55445,0.26706,1.792,1.4869,0.97928,0.0340409,0.000659592,0.000659592
3,576.42,1.89675,1.25143,1.04482,0.67446,0.49513,0.52393,0.23098,1.91809,1.35878,0.98497,0.00102769,0.00097973,0.00097973
4,766.137,1.85412,1.2062,1.03183,0.67232,0.50149,0.56055,0.29237,1.64845,1.19687,0.94946,0.0009703,0.0009703,0.0009703
5,944.829,1.81038,1.16061,1.02542,0.73216,0.50443,0.58409,0.30894,1.57931,1.1066,0.93399,0.0009604,0.0009604,0.0009604
6,1131.11,1.75635,1.11692,1.01388,0.77719,0.54404,0.61755,0.33094,1.56506,1.04352,0.9318,0.0009505,0.0009505,0.0009505
7,1318,1.72445,1.07659,1.00422,0.74732,0.53251,0.60779,0.33272,1.517,1.01647,0.93554,0.0009406,0.0009406,0.0009406
8,1494.86,1.69448,1.0486,0.99723,0.76666,0.55338,0.63581,0.35689,1.4792,0.96574,0.91669,0.0009307,0.0009307,0.0009307
9,1682.49,1.67878,1.03221,0.99569,0.76052,0.56075,0.63729,0.35753,1.44882,0.94828,0.91136,0.0009208,0.0009208,0.0009208
10,1871.34,1.65767,1.00642,0.98747,0.80002,0.55359,0.64968,0.36366,1.44436,0.89603,0.91383,0.0009109,0.0009109,0.0009109
11,2060.23,1.64578,0.98497,0.98448,0.7926,0.57268,0.65855,0.38083,1.39023,0.85448,0.90834,0.000901,0.000901,0.000901
12,2248.6,1.62559,0.974,0.98247,0.77834,0.56472,0.6463,0.37231,1.36852,0.88844,0.90347,0.0008911,0.0008911,0.0008911
13,2434.67,1.60935,0.95503,0.98339,0.77416,0.58004,0.65361,0.37785,1.36002,0.87151,0.90142,0.0008812,0.0008812,0.0008812
14,2611.54,1.61072,0.95031,0.97833,0.80282,0.57482,0.66393,0.3922,1.33652,0.82714,0.90015,0.0008713,0.0008713,0.0008713
15,2790.22,1.59289,0.93868,0.97483,0.79873,0.57845,0.67044,0.39356,1.32725,0.83995,0.89919,0.0008614,0.0008614,0.0008614
16,2968.63,1.58227,0.92846,0.97513,0.78997,0.59385,0.68211,0.40068,1.32573,0.8195,0.89548,0.0008515,0.0008515,0.0008515
17,3150.43,1.56773,0.91368,0.97164,0.78431,0.5868,0.67399,0.4026,1.28996,0.79936,0.88838,0.0008416,0.0008416,0.0008416
18,3336.93,1.56703,0.90355,0.9702,0.7871,0.60807,0.68129,0.40923,1.27869,0.77062,0.89042,0.0008317,0.0008317,0.0008317
19,3523.18,1.54796,0.89161,0.96658,0.7828,0.60032,0.68623,0.41039,1.28895,0.77058,0.89212,0.0008218,0.0008218,0.0008218
20,3708.94,1.54969,0.88682,0.96905,0.7954,0.59555,0.68518,0.40633,1.28235,0.76907,0.88809,0.0008119,0.0008119,0.0008119
21,3895.04,1.53014,0.87241,0.95865,0.80064,0.60371,0.69172,0.4164,1.24697,0.7416,0.88908,0.000802,0.000802,0.000802
22,4081.44,1.52936,0.87022,0.96026,0.79321,0.60713,0.69217,0.41963,1.24158,0.76036,0.88414,0.0007921,0.0007921,0.0007921
23,4267.83,1.51169,0.85592,0.95762,0.80264,0.61145,0.69194,0.419,1.25626,0.74205,0.89398,0.0007822,0.0007822,0.0007822
24,4447.14,1.49956,0.84779,0.95533,0.79409,0.61426,0.695,0.42319,1.22896,0.73466,0.88078,0.0007723,0.0007723,0.0007723
25,4627.15,1.49653,0.84247,0.95279,0.8012,0.61642,0.69858,0.42495,1.22099,0.71,0.87766,0.0007624,0.0007624,0.0007624
26,4813.78,1.49592,0.84099,0.95686,0.80824,0.60728,0.69446,0.41945,1.23184,0.71162,0.88357,0.0007525,0.0007525,0.0007525
27,5000.15,1.47567,0.82183,0.94733,0.8138,0.61006,0.69895,0.42652,1.20798,0.69824,0.87943,0.0007426,0.0007426,0.0007426
28,5186.28,1.47534,0.82355,0.94762,0.81401,0.61583,0.70519,0.4323,1.201,0.68715,0.87675,0.0007327,0.0007327,0.0007327
29,5363.18,1.46104,0.80539,0.9453,0.81247,0.61855,0.70535,0.43281,1.21029,0.68904,0.87746,0.0007228,0.0007228,0.0007228
30,5539,1.45415,0.80647,0.9431,0.82041,0.61862,0.70677,0.43485,1.19856,0.67926,0.87879,0.0007129,0.0007129,0.0007129
31,5718,1.4635,0.80378,0.94393,0.81197,0.61821,0.70482,0.43411,1.18359,0.68117,0.87723,0.000703,0.000703,0.000703
32,5893.82,1.44626,0.79589,0.94317,0.81555,0.62219,0.70762,0.43634,1.18903,0.67407,0.87651,0.0006931,0.0006931,0.0006931
33,6074.19,1.44054,0.78523,0.93854,0.81531,0.62498,0.70706,0.43747,1.1885,0.66694,0.87518,0.0006832,0.0006832,0.0006832
34,6260.37,1.44039,0.78947,0.93845,0.81369,0.62716,0.71068,0.44002,1.18314,0.65977,0.87599,0.0006733,0.0006733,0.0006733
35,6446.36,1.42404,0.77622,0.93798,0.81415,0.62719,0.71037,0.44027,1.18524,0.6619,0.87679,0.0006634,0.0006634,0.0006634
36,6633.2,1.43096,0.77777,0.93486,0.81471,0.62637,0.71063,0.44208,1.18582,0.66482,0.87561,0.0006535,0.0006535,0.0006535
37,6819.28,1.41905,0.76365,0.93488,0.81807,0.62716,0.71318,0.44442,1.18443,0.66112,0.87471,0.0006436,0.0006436,0.0006436
38,7005.82,1.4042,0.75938,0.93177,0.82069,0.62537,0.71376,0.4468,1.17666,0.65558,0.87331,0.0006337,0.0006337,0.0006337
39,7193.05,1.40491,0.75883,0.93258,0.82085,0.62816,0.71626,0.44816,1.17315,0.651,0.87223,0.0006238,0.0006238,0.0006238
40,7379.76,1.40294,0.75098,0.93111,0.82187,0.6266,0.71654,0.44775,1.17144,0.64762,0.87173,0.0006139,0.0006139,0.0006139
41,7566.01,1.39412,0.74881,0.93027,0.82337,0.62477,0.71644,0.44903,1.16897,0.64489,0.87046,0.000604,0.000604,0.000604
42,7753.11,1.39492,0.74441,0.92703,0.81563,0.62915,0.71678,0.44991,1.1671,0.64481,0.87007,0.0005941,0.0005941,0.0005941
43,7940.19,1.38037,0.73795,0.92105,0.80648,0.63394,0.7167,0.45103,1.16598,0.64152,0.86973,0.0005842,0.0005842,0.0005842
44,8126.79,1.38674,0.73826,0.92868,0.81274,0.63259,0.71659,0.45145,1.1636,0.63934,0.86867,0.0005743,0.0005743,0.0005743
45,8313.16,1.37246,0.73188,0.92411,0.81234,0.63313,0.71641,0.45193,1.16427,0.63712,0.86789,0.0005644,0.0005644,0.0005644
46,8499.82,1.36711,0.72971,0.92569,0.81718,0.63106,0.71673,0.45188,1.16177,0.63448,0.86634,0.0005545,0.0005545,0.0005545
47,8685.77,1.36812,0.72484,0.92307,0.82028,0.63077,0.71765,0.45265,1.15871,0.63326,0.86595,0.0005446,0.0005446,0.0005446
48,8872.09,1.36017,0.71353,0.92151,0.8227,0.62796,0.71731,0.45325,1.15741,0.63128,0.86585,0.0005347,0.0005347,0.0005347
49,9058.19,1.35365,0.71175,0.91731,0.82602,0.62593,0.71747,0.45348,1.15568,0.63009,0.86522,0.0005248,0.0005248,0.0005248
50,9243.74,1.34491,0.70534,0.91757,0.82779,0.62637,0.71917,0.45405,1.15343,0.62905,0.86469,0.0005149,0.0005149,0.0005149
51,9429.97,1.34205,0.70574,0.91514,0.82958,0.62597,0.71897,0.45426,1.15294,0.62729,0.86505,0.000505,0.000505,0.000505
52,9605.32,1.34147,0.70286,0.9185,0.82679,0.62935,0.71949,0.45497,1.15184,0.62558,0.86478,0.0004951,0.0004951,0.0004951
53,9778.89,1.32765,0.69282,0.91445,0.82736,0.62988,0.71995,0.45517,1.14993,0.62435,0.86442,0.0004852,0.0004852,0.0004852
54,9959.94,1.32999,0.69221,0.91279,0.82416,0.63213,0.7201,0.45582,1.14839,0.62326,0.86421,0.0004753,0.0004753,0.0004753
55,10141.1,1.31913,0.685,0.91306,0.82428,0.63094,0.72047,0.45639,1.1462,0.62127,0.86388,0.0004654,0.0004654,0.0004654
56,10322.6,1.31582,0.68097,0.91214,0.82409,0.62972,0.72023,0.4566,1.14501,0.61939,0.86311,0.0004555,0.0004555,0.0004555
57,10503.8,1.31174,0.67469,0.91085,0.8212,0.62995,0.72073,0.45667,1.14271,0.61803,0.86303,0.0004456,0.0004456,0.0004456
58,10685.5,1.30687,0.67252,0.90775,0.82026,0.63094,0.72076,0.45725,1.14176,0.61651,0.86319,0.0004357,0.0004357,0.0004357
59,10867,1.30699,0.67375,0.91034,0.81903,0.63266,0.72155,0.4572,1.14137,0.61514,0.8633,0.0004258,0.0004258,0.0004258
60,11048.7,1.29526,0.6725,0.90578,0.81956,0.63372,0.72201,0.45776,1.14125,0.61437,0.86344,0.0004159,0.0004159,0.0004159
61,11230.6,1.29188,0.66689,0.9048,0.82008,0.63353,0.7217,0.45806,1.14195,0.61261,0.86351,0.000406,0.000406,0.000406
62,11411.9,1.2873,0.66284,0.90482,0.81895,0.63452,0.72192,0.45817,1.14157,0.61166,0.86351,0.0003961,0.0003961,0.0003961
63,11593.5,1.28268,0.65834,0.90273,0.82078,0.63293,0.72171,0.4589,1.14151,0.60996,0.86379,0.0003862,0.0003862,0.0003862
64,11775.1,1.27262,0.65317,0.90082,0.81948,0.63293,0.72189,0.45885,1.14033,0.6081,0.86366,0.0003763,0.0003763,0.0003763
65,11956.4,1.27833,0.65528,0.90234,0.82162,0.63193,0.72187,0.45954,1.1397,0.60699,0.86369,0.0003664,0.0003664,0.0003664
66,12137.9,1.27707,0.6483,0.90021,0.82261,0.63072,0.72245,0.45994,1.13914,0.60526,0.86375,0.0003565,0.0003565,0.0003565
67,12318.4,1.2663,0.64649,0.9006,0.82352,0.63054,0.72297,0.46023,1.1377,0.60467,0.86374,0.0003466,0.0003466,0.0003466
68,12499.5,1.25673,0.64111,0.89842,0.82264,0.63134,0.72325,0.46023,1.13697,0.6038,0.86379,0.0003367,0.0003367,0.0003367
69,12681.4,1.261,0.64117,0.89837,0.82779,0.62875,0.72423,0.46063,1.13672,0.60394,0.86371,0.0003268,0.0003268,0.0003268
70,12862.9,1.25153,0.63374,0.89501,0.83088,0.62895,0.72413,0.46082,1.13649,0.60309,0.86355,0.0003169,0.0003169,0.0003169
71,13044.1,1.24588,0.62957,0.89359,0.83841,0.62522,0.72398,0.46069,1.13586,0.60287,0.86339,0.000307,0.000307,0.000307
72,13225.2,1.24464,0.63111,0.89561,0.83903,0.62496,0.72405,0.46103,1.13556,0.60214,0.86316,0.0002971,0.0002971,0.0002971
73,13406.8,1.24354,0.62816,0.89453,0.84075,0.62398,0.72465,0.46172,1.13538,0.60208,0.86321,0.0002872,0.0002872,0.0002872
74,13588.8,1.23465,0.62248,0.89014,0.84141,0.6235,0.72454,0.46152,1.13441,0.60179,0.86299,0.0002773,0.0002773,0.0002773
75,13770.2,1.2297,0.61937,0.89045,0.84144,0.62299,0.72466,0.46165,1.13404,0.60099,0.86317,0.0002674,0.0002674,0.0002674
76,13950.9,1.22307,0.61738,0.8876,0.84139,0.62338,0.72473,0.46188,1.13338,0.60041,0.86318,0.0002575,0.0002575,0.0002575
77,14132.3,1.21749,0.61239,0.8885,0.84247,0.62318,0.72498,0.46211,1.13312,0.60049,0.863,0.0002476,0.0002476,0.0002476
78,14313.3,1.2192,0.61297,0.88879,0.84223,0.62338,0.72483,0.46185,1.13264,0.59944,0.86283,0.0002377,0.0002377,0.0002377
79,14494.2,1.21724,0.61151,0.88626,0.84219,0.62358,0.7251,0.4623,1.13268,0.59942,0.8627,0.0002278,0.0002278,0.0002278
80,14675.7,1.21379,0.60881,0.88595,0.84119,0.62458,0.72523,0.46214,1.13289,0.59939,0.86269,0.0002179,0.0002179,0.0002179
81,14857.3,1.20207,0.6033,0.88367,0.84072,0.62557,0.72504,0.46231,1.13326,0.59925,0.86256,0.000208,0.000208,0.000208
82,15038.4,1.2011,0.60223,0.88571,0.83853,0.62736,0.72575,0.46277,1.1327,0.59901,0.8623,0.0001981,0.0001981,0.0001981
83,15220,1.19455,0.59793,0.88534,0.83333,0.62975,0.72573,0.46265,1.13361,0.59755,0.86199,0.0001882,0.0001882,0.0001882
84,15401.4,1.19297,0.59682,0.8828,0.83432,0.62983,0.72575,0.46284,1.1317,0.59692,0.86193,0.0001783,0.0001783,0.0001783
85,15583,1.18709,0.5919,0.88249,0.8341,0.62983,0.72604,0.46343,1.13135,0.59662,0.86177,0.0001684,0.0001684,0.0001684
86,15763.9,1.1842,0.58881,0.88176,0.83417,0.63034,0.72648,0.46354,1.13141,0.59611,0.86173,0.0001585,0.0001585,0.0001585
87,15945,1.18449,0.58903,0.88159,0.83462,0.63122,0.72701,0.46383,1.13161,0.59565,0.86209,0.0001486,0.0001486,0.0001486
88,16126.4,1.17652,0.58577,0.87918,0.82958,0.63392,0.72743,0.46387,1.13118,0.59479,0.8621,0.0001387,0.0001387,0.0001387
89,16307.9,1.17677,0.58519,0.87987,0.8298,0.63498,0.72803,0.46438,1.13289,0.59402,0.86202,0.0001288,0.0001288,0.0001288
90,16490.3,1.17639,0.58561,0.87906,0.83077,0.63548,0.7283,0.46442,1.13137,0.59413,0.86229,0.0001189,0.0001189,0.0001189
91,16702.4,1.1728,0.55585,0.89162,0.82925,0.63545,0.7276,0.46393,1.13342,0.59432,0.86233,0.000109,0.000109,0.000109
92,16884.6,1.15474,0.54682,0.88635,0.82696,0.6371,0.72847,0.46476,1.13206,0.59365,0.86269,9.91e-05,9.91e-05,9.91e-05
93,17063.7,1.14819,0.54128,0.88547,0.82641,0.63712,0.72826,0.46444,1.13209,0.59383,0.86252,8.92e-05,8.92e-05,8.92e-05
94,17242.3,1.13983,0.53493,0.88414,0.82603,0.63637,0.72876,0.46467,1.13347,0.59286,0.86267,7.93e-05,7.93e-05,7.93e-05
95,17420.4,1.13488,0.53135,0.88297,0.8261,0.6373,0.72845,0.4649,1.13409,0.59212,0.86268,6.94e-05,6.94e-05,6.94e-05
96,17599.4,1.13521,0.53099,0.88122,0.82617,0.63697,0.72867,0.46495,1.13342,0.59261,0.86276,5.95e-05,5.95e-05,5.95e-05
97,17778.5,1.12719,0.52827,0.88353,0.82608,0.63751,0.72904,0.46507,1.13393,0.59211,0.86271,4.96e-05,4.96e-05,4.96e-05
98,17957.2,1.12186,0.52551,0.87833,0.82707,0.63717,0.72913,0.46512,1.13341,0.59172,0.86294,3.97e-05,3.97e-05,3.97e-05
99,18136,1.11856,0.52317,0.87934,0.82851,0.63691,0.72965,0.46522,1.13404,0.59121,0.86298,2.98e-05,2.98e-05,2.98e-05
100,18314.5,1.11253,0.52092,0.87752,0.82763,0.6375,0.72944,0.46564,1.13436,0.59112,0.86303,1.99e-05,1.99e-05,1.99e-05
