epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3758.96,1.45159,0.7922,0.92466,0.81861,0.6246,0.71002,0.43463,1.24448,0.6993,0.8773,0.0005941,0.0005941,0.0005941
43,3848.75,1.44706,0.78973,0.92152,0.82376,0.62239,0.71096,0.43575,1.23979,0.69707,0.87632,0.0005842,0.0005842,0.0005842
44,3938.91,1.44909,0.78451,0.92402,0.82648,0.62322,0.71099,0.43637,1.23767,0.69494,0.87568,0.0005743,0.0005743,0.0005743
45,4029.03,1.42946,0.77545,0.91981,0.82755,0.62199,0.71021,0.43656,1.23686,0.69367,0.87499,0.0005644,0.0005644,0.0005644
46,4119.22,1.42402,0.77359,0.91853,0.8289,0.62299,0.71093,0.43709,1.23542,0.69175,0.87506,0.0005545,0.0005545,0.0005545
47,4203.82,1.42559,0.76936,0.91878,0.8298,0.62319,0.71101,0.43693,1.23154,0.68938,0.8741,0.0005446,0.0005446,0.0005446
48,4287.93,1.42671,0.76616,0.91806,0.83168,0.62418,0.71237,0.43686,1.23224,0.68954,0.87413,0.0005347,0.0005347,0.0005347
49,4368.62,1.42432,0.76538,0.91649,0.82905,0.62584,0.71242,0.43741,1.23063,0.68851,0.87374,0.0005248,0.0005248,0.0005248
50,4451.26,1.41591,0.76083,0.91507,0.83117,0.62555,0.71339,0.43827,1.22897,0.68718,0.87345,0.0005149,0.0005149,0.0005149
51,4535.46,1.4044,0.75187,0.91355,0.83021,0.62637,0.71414,0.4387,1.2291,0.68678,0.87354,0.000505,0.000505,0.000505
52,4618.46,1.41095,0.74931,0.91514,0.83242,0.62623,0.71409,0.43935,1.22723,0.68511,0.87313,0.0004951,0.0004951,0.0004951
53,4702.36,1.40286,0.75127,0.91377,0.83407,0.62672,0.71449,0.43968,1.22459,0.68346,0.87272,0.0004852,0.0004852,0.0004852
54,4790.36,1.40474,0.74495,0.91404,0.83186,0.62736,0.71527,0.4402,1.22196,0.68197,0.87231,0.0004753,0.0004753,0.0004753
55,4873.18,1.39254,0.74187,0.91138,0.82964,0.62849,0.71538,0.44057,1.22014,0.68017,0.87217,0.0004654,0.0004654,0.0004654
56,4962.06,1.39051,0.73811,0.91219,0.83124,0.62895,0.71569,0.44088,1.21844,0.67962,0.87219,0.0004555,0.0004555,0.0004555
57,5051.69,1.39018,0.74128,0.91028,0.83212,0.62895,0.71599,0.44074,1.213,0.67875,0.87127,0.0004456,0.0004456,0.0004456
58,5142.14,1.37802,0.73123,0.90893,0.83173,0.62935,0.71599,0.44111,1.21279,0.67782,0.8713,0.0004357,0.0004357,0.0004357
59,5231.76,1.38502,0.7332,0.90998,0.83779,0.62657,0.71624,0.4414,1.21389,0.67649,0.87144,0.0004258,0.0004258,0.0004258
